sentence,option1,option2,answer
Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.,Ian,Dennis,2
Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.,Ian,Dennis,1
"He never comes to my home, but I always go to his house because the _ is smaller.",home,house,1
"He never comes to my home, but I always go to his house because the _ is bigger.",home,house,2
"Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a colder climate.",Kyle,Logan,2
"Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a warmer climate.",Kyle,Logan,1
The GPS and map helped me navigate home.  I got lost when the _ got turned upside down.,GPS,map,2
The GPS and map helped me navigate home.  I got lost when the _ got turned off.,GPS,map,1
"Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .",Emily,Patricia,2
"Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .",Emily,Patricia,1
The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty.,safe,trolley,2
The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was full.,safe,trolley,1
"He thought he had time to take the scenic route to the store, but the _ was under construction.",route,store,1
"He thought he had time to take the scenic route to the store, but the _ was closed early.",route,store,2
She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is quick.,chair,table,2
She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is time consuming.,chair,table,1
"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are voluntary.",unconscious,conscious,2
"To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are involuntary.",unconscious,conscious,1
Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica,2
Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica,1
I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now.,raisins,peanuts,2
I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the _ for now.,raisins,peanuts,1
Craig really loves to clean all the time but Derrick does not because _ is very neat.,Craig,Derrick,1
Craig really loves to clean all the time but Derrick does not because _ is very untidy.,Craig,Derrick,2
Dennis gave his hammer to Robert so he could hammer the nails. _ had plenty of hammers.,Dennis,Robert,1
Dennis gave his hammer to Robert so he could hammer the nails. _ had no hammers.,Dennis,Robert,2
The party was more interesting and uplifing than the funeral because the _ was rigid.,party,funeral,2
The party was more interesting and uplifting than the funeral because the _ was flexible.,party,funeral,1
The geese prefer to nest in the fields rather than the forests because in the _ predators are more hidden.,fields,forests,2
The geese prefer to nest in the fields rather than the forests because in the _ predators are very visible.,fields,forests,1
"The plant took up too much room in the urn, because the _ was small.",plant,urn,2
"The plant took up too much room in the urn, because the _ was large.",plant,urn,1
"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too low.",bird house,ground,1
"I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too high.",bird house,ground,2
I prefer spa to the pool and I find the cold water in the _  not relaxing at the end of the day.,spa,pool,2
I prefer spa to the pool and I find the hot water in the _ relaxing at the end of the day.,spa,pool,1
Megan said it would be liberating to go out without makeup like Elena does. _ never wore makeup when she left the house.,Megan,Elena,2
