Model Name=qwen, Task=gsm8k, Accuracy=0.9480, N=1000
Model Name=qwen, Task=math_algebra, Accuracy=0.9340, N=1000
Model Name=qwen, Task=mmlu, Accuracy=0.5100, N=1000
Model Name=qwen, Task=winogrande, Accuracy=0.7270, N=1000
Model Name=qwen, Task=piqa, Accuracy=0.8600, N=1000
Model Name=qwen, Task=agieval, Accuracy=0.5721, N=451
Model Name=qwen, Task=squad, Accuracy=0.6730, N=1000
Model Name=qwen, Task=ecqa, Accuracy=0.8160, N=1000
Model Name=qwen, Task=boolq, Accuracy=0.8360, N=1000
Model Name=qwen, Task=arc_challenge, Accuracy=0.8930, N=1000
Model Name=qwen, Task=mmlu_pro_law, Accuracy=0.3214, N=700
Model Name=qwen, Task=drop, Accuracy=0.0070, N=1000
Model Name=qwen, Task=hellaswag, Accuracy=0.7060, N=1000
Model Name=qwen, Task=gsm8k, Accuracy=0.9480, N=1000
Model Name=qwen, Task=math_algebra, Accuracy=0.9340, N=1000
Model Name=qwen, Task=mmlu, Accuracy=0.5100, N=1000
Model Name=qwen, Task=winogrande, Accuracy=0.7270, N=1000
Model Name=qwen, Task=piqa, Accuracy=0.8600, N=1000
Model Name=qwen, Task=agieval, Accuracy=0.5721, N=451
Model Name=qwen, Task=squad, Accuracy=0.6730, N=1000
Model Name=qwen, Task=ecqa, Accuracy=0.8160, N=1000
Model Name=qwen, Task=boolq, Accuracy=0.8360, N=1000
Model Name=qwen, Task=arc_challenge, Accuracy=0.8930, N=1000
Model Name=qwen, Task=mmlu_pro_law, Accuracy=0.3214, N=700
Model Name=qwen, Task=drop, Accuracy=0.0070, N=1000
Model Name=qwen, Task=hellaswag, Accuracy=0.7060, N=1000
Model Name=qwen, Task=gsm8k, Accuracy=0.9480, N=1000
Model Name=qwen, Task=math_algebra, Accuracy=0.9340, N=1000
Model Name=qwen, Task=mmlu, Accuracy=0.5100, N=1000
Model Name=qwen, Task=winogrande, Accuracy=0.7270, N=1000
Model Name=qwen, Task=piqa, Accuracy=0.8600, N=1000
Model Name=qwen, Task=agieval, Accuracy=0.5721, N=451
Model Name=qwen, Task=squad, Accuracy=0.6730, N=1000
Model Name=qwen, Task=ecqa, Accuracy=0.8160, N=1000
Model Name=qwen, Task=boolq, Accuracy=0.8360, N=1000
Model Name=qwen, Task=arc_challenge, Accuracy=0.8930, N=1000
Model Name=qwen, Task=mmlu_pro_law, Accuracy=0.3214, N=700
Model Name=qwen, Task=drop, Accuracy=0.0070, N=1000
Model Name=qwen, Task=hellaswag, Accuracy=0.7060, N=1000
Model Name=qwen, Task=mmlu_moral_scenarios, Accuracy=0.5683, N=600
Model Name=qwen, Task=math_geometry, Accuracy=0.5187, N=507
Model Name=qwen, Task=api_bank, Accuracy=0.1169, N=907
Model Name=qwen, Task=gsm8k, Accuracy=0.9480, N=1000
Model Name=qwen, Task=math_algebra, Accuracy=0.9340, N=1000
Model Name=qwen, Task=mmlu, Accuracy=0.5100, N=1000
Model Name=qwen, Task=winogrande, Accuracy=0.7270, N=1000
Model Name=qwen, Task=piqa, Accuracy=0.8600, N=1000
Model Name=qwen, Task=agieval, Accuracy=0.5721, N=451
Model Name=qwen, Task=squad, Accuracy=0.6730, N=1000
Model Name=qwen, Task=ecqa, Accuracy=0.8160, N=1000
Model Name=qwen, Task=boolq, Accuracy=0.8360, N=1000
Model Name=qwen, Task=arc_challenge, Accuracy=0.8930, N=1000
Model Name=qwen, Task=mmlu_pro_law, Accuracy=0.3214, N=700
Model Name=qwen, Task=drop, Accuracy=0.0070, N=1000
Model Name=qwen, Task=hellaswag, Accuracy=0.7060, N=1000
Model Name=qwen, Task=mmlu_moral_scenarios, Accuracy=0.5683, N=600
Model Name=qwen, Task=math_geometry, Accuracy=0.5187, N=507
Model Name=qwen, Task=api_bank, Accuracy=0.1169, N=907
Model Name=qwen, Task=gsm8k, Accuracy=0.9480, N=1000
Model Name=qwen, Task=math_algebra, Accuracy=0.9340, N=1000
Model Name=qwen, Task=mmlu, Accuracy=0.5100, N=1000
Model Name=qwen, Task=winogrande, Accuracy=0.7270, N=1000
Model Name=qwen, Task=piqa, Accuracy=0.8600, N=1000
Model Name=qwen, Task=agieval, Accuracy=0.5721, N=451
Model Name=qwen, Task=squad, Accuracy=0.6730, N=1000
Model Name=qwen, Task=ecqa, Accuracy=0.8160, N=1000
Model Name=qwen, Task=boolq, Accuracy=0.8360, N=1000
Model Name=qwen, Task=arc_challenge, Accuracy=0.8930, N=1000
Model Name=qwen, Task=mmlu_pro_law, Accuracy=0.3214, N=700
Model Name=qwen, Task=drop, Accuracy=0.0070, N=1000
Model Name=qwen, Task=hellaswag, Accuracy=0.7060, N=1000
Model Name=qwen, Task=mmlu_moral_scenarios, Accuracy=0.5683, N=600
Model Name=qwen, Task=math_geometry, Accuracy=0.5187, N=507
Model Name=qwen, Task=api_bank, Accuracy=0.1169, N=907
Model Name=mistral, Task=gsm8k, Accuracy=0.3930, N=1000
Model Name=mistral, Task=math_algebra, Accuracy=0.1540, N=1000
Model Name=mistral, Task=mmlu, Accuracy=0.3760, N=1000
Model Name=mistral, Task=winogrande, Accuracy=0.4490, N=1000
Model Name=mistral, Task=piqa, Accuracy=0.6920, N=1000
Model Name=mistral, Task=agieval, Accuracy=0.3348, N=451
Model Name=mistral, Task=squad, Accuracy=0.0880, N=1000
Model Name=mistral, Task=ecqa, Accuracy=0.5760, N=1000
Model Name=mistral, Task=boolq, Accuracy=0.8230, N=1000
Model Name=mistral, Task=arc_challenge, Accuracy=0.7350, N=1000
Model Name=mistral, Task=mmlu_pro_law, Accuracy=0.1943, N=700
Model Name=mistral, Task=drop, Accuracy=0.0060, N=1000
Model Name=mistral, Task=hellaswag, Accuracy=0.3970, N=1000
Model Name=mistral, Task=mmlu_moral_scenarios, Accuracy=0.3717, N=600
Model Name=mistral, Task=math_geometry, Accuracy=0.0513, N=507
