q_no,q_concept,question,1,2,3,4,5,gold_label,pos_explaination,neg_explaination,combined_explaination
d5d4022dd1196d5986d8fc41eccc3433,killing,What might a person see at the scene of a brutal killing?,bloody mess,pleasure,being imprisoned,feeling of guilt,cake,bloody mess,"Bloody mess is covered or stained with blood.
A person might see a bloody mess at the scene of a brutal killing.","Pleasure is a feeling of happy satisfaction and enjoyment. Pleasure is about what a person sees at the scene of a brutal killing and one cannot be happy to see such brutality.
Being imprisoned is to hold someone in a prison or jail. You can’t see someone in jail at the brutal killing scene.
Feeling of guilt means a feeling of worry or unhappiness that you have because you have done something wrong, such as causing harm to another person. Feeling of guilt doesn’t come as the killing is brutal or merciless. So, no point of feeling guilty.
Cake is baseless and weird to think as it is a brutal killing scene and not a bakery.",Bloody mess is covered or stained with blood. A person might see a bloody mess at the scene of a brutal killing.  Pleasure is about what a person sees at the scene of a brutal killing and one cannot be happy to see such brutality. You can’t see someone in jail at the brutal killing scene. Feeling of guilt doesn’t come as the killing is brutal or merciless. Cake is baseless and weird to think as it is a brutal killing scene and not a bakery.
627cda74155eafa4dab9eb7040103d69,candle,If you want to set a romantic atmosphere you might light a candle where?,dimly lit room,synagogue,bedroom,birthday cake,roses,bedroom,"A romantic atmosphere can be set in bedroom
Bedroom is a place where one sleeps
Candles can be lit in a bedroom","Dimly lit room is not a place where one sleeps
A romantic atmosphere cannot be set in a synagogue
Birthday cake is not a place where one sleeps
Candles cannot be lit in roses",A romantic atmosphere can be set in bedroom and not in a synagogue. Bedroom is a place where one sleeps unlike a dimly lit room or a birthday cake. Candles can be lit in a bedroom and not in roses.
7aef3f0c82677ec2cae8568a97d4cc8e,flirting,What might the result of unwanted flirting be?,attraction,problems,the gallows,being slapped,curiosity,being slapped,Person can be slapped if he does unwanted flirting to someone.,"Attraction cannot be result of unwanted flirting.
Unwanted flirting doesn't always creates problems.
The gallows is not something that can be result of unwanted flirting.
Curiosity is not something that can be result of unwanted flirting.","Person can be slapped if he does unwanted flirting to someone. Attraction cannot be result of unwanted flirting. Unwanted flirting doesn't always creates problems.
            The gallows or curiosity is not something that can be result of unwanted flirting."
8bc8c74dbd5cb6e3d94adc17c75256ce,opening business,"He had a lot on his plate opening business, this cause a lot of what?",headaches,making money,success,failure,stress,stress,"Stress is an outcome of lot of things on plate
With new bsuiness, people have various issues that lead to stress","Headaches are caused when there is stress
making money is not a cause of being lot on plate
Success is not caused of being lot on plate
Failure is result of business not working","When someone has lot on plate, they often feel stressed. A new business demands lot o fwork that can cause stress. All the other options are incorrect as they are not a result of being a lot on plate in a business."
5f841ca4ec88145a9a27c612e3af538f,coffee,Where would you borrow coffee if you do not have any?,meeting,convenience store,supermarket,fast food restaurant,friend's house,friend's house,"If you don't have coffee powder / beans and don't want to buy it, you would borrow from friend's house
Friend will not sell you but will give you out of love","One can't borrow coffee from meeting
convenience stores sell coffee bean / powder
supermarket sells coffee bean / powder
fast food delivery sells ready mix coffee to drink","If you are finished with stock of coffee beans / powder and don't want to buy it, you can borrow it from friend's home because you can't borrow from meeting and other options are selling the coffee"
07b31f4850740a8509d3f0653e5c9b64,attempt,"This was the high jumper's second and final attempt, he was doing what to break a record?",leave,fail,finish,give up,trying,trying,"Trying means to make an effort to achieve something.
Making an effort is to attempt.","Leaving is to go away.
Leaving won't break records.
Failing is to lose.
Failing won't break records.
Finishing is to complete.
One might need to keep trying to finish.
Giving up is to accept defeat.
Giving up won't break records.",Trying means to make an effort to do something by attempting. The high jumper was trying to break a record in his second and final attempt. One might need to keep trying to finish and doing the other options won't break records.
d51634231ffdf3963c20d58d6127b3f2,government,What does the government have control over?,trouble,country,army,city,control,city,"A city is a large town.
A government controls large towns.","A government cannot control trouble.
A government might not be able to control country.
A government might not be able to control army.
One cannot have control over control.
A government cannot control control.",A city is a large town over which a government has control. One cannot have control over control and a government might not have control over others.
f61d08b807fe47d926e0c3f0c8355bc0,getting wet,What is the likelihood of drowning when getting wet?,shrinking,feeling cold,become cold,cool off,could,could,"One could drown in too much water.
Getting wet might mean too much water.","Shrinking means getting smaller.
Shrinking is not a likelihood.
Cold is a common viral infection.
Feeling cold is not a likelihood.
Become cold is not a likelihood.
Cool off is not a likelihood.",One could drown in too much water. So the likelihood of drowning when getting wet is they could. All other options are not likelihood.
51172914847d7a61b2715826e9e38655,government,What does the government sometimes have too much of?,canada,trouble,city,control,water,control,"Control means the power to influence or direct people's behaviour or the course of events.
Governments govern it's people.
Governing means looking after and controlling.","Canada is a country.
A government cannot have Canada.
Government might not have too much of trouble.
A city is a large town.
Government might not have too much of city.
Government might not have too much of water.",Control means the power to influence or direct people's behaviour or the course of events. Governments govern it's people so the government sometimes have too much of control. Government might not have too much of trouble and all the other options cannot be had by government.
8a46cef210192057a13a7b8fdeaf3c8f,making friends,What happens after making friends with someone of the opposite sex?,falling in love,smile,talking,shake hands,punch in the face,falling in love,People generally fall in love with opposite se,"Smile is an expression when somebody gets pleased.
People talk to everybody every day.
Shaking hands is a common gesture when you meet or greet somebody.
One does not punch in the face of someone after becoming friends.","When one talk with someone of opposite sex, they tend to fall in love with them. All other options are irrelevant as they are not restricted to something with opposite sex."
7276871c8ee73bd51f6b2f9cfed94b40,finding information,What do you hope to achieve when finding information about manners?,understanding of,solution to problem,polite,being able to use,know how to act,know how to act,Information about manners makes person know how to act in general with self control and discipline and selflessness.,"Person cannot get understanding of manners by just finding the information about manners.
Information about manners doesn't make you know solution to problem.
Information about manners cannot make you polite always.
All the person doesn't always be able to use the information that they find about manners.","Information about manners makes person know how to act in general with self control and discipline and selflessness.
            Person cannot get understanding of manners by just finding the information about manners.  Information about manners doesn't make you know solution to problem.
             Information about manners cannot make you polite always.All the person doesn't always be able to use the information that they find about manners."
c2818faa469fc5092c49e2f753515341,driving to work,What is the goal of driving to work?,speeding ticket,use gas,go fast,anxiety,get to work,get to work,"Person goes to work place to work.
The purpose of Driving to work is to get to work.","speeding ticket is not purpose of driving to work.
Person don't drive to work to use gas.
Person don't drive to get anxiety.
Person doesn't drive to work to go fast.","The purpose of Driving to work is to get to work as Person goes to work place to work. speeding ticket is not purpose of driving to work.
            Person don't drive to work to use gas or to get anxiety.Person doesn't drive to work to go fast."
2d32a0d1d9786383db1cb7c4ac485e6b,silverware,Nate washed  his personal silverware and put it in a  drawer.   Where might that drawer be?,bedroom,kitchen,table,restaurant,cupboard,kitchen,"Silverwares are kept in kitchen.
Drawers are there in a kitchen to keep personal utensils","Silverwares are not kept in bedroom
Table not always contain a drawer.
Personal silverwares are not kept in a restaurant.
Cupboard dont contains a drawer.",Silverwares are kept in kitchen. Drawers are there in a kitchen to keep personal utensils.  Silverwares are not kept in bedroom. Table not always contain a drawer. Personal silverwares are not kept in a restaurant. Cupboard dont contains a drawer.
3090cb12c56cdb4412a8c236f2a4e8b0,sleeping,What cannot happen to you while you are sleeping?,have fun,dreams,nightmares,relaxation,bad dreams,have fun,"you need to be awake for having fun.
you cannot have fun while you are sleeping.","you can have dreams when you are sleeping.
nightmares happens to you while you are sleeping.
you can have relaxation by sleeping.
While sleeping, you may have bad dreams.","you need to be awake for having fun. you cannot have fun while you are sleeping. you can have dreams when you are sleepingnightmares happens to you while you are sleeping. you can have relaxation by sleeping. While sleeping, you may have bad dreams."
bb503ece4eac41dfe608a1dcb654e6bf,free,"If somebody buys something and gives it to me as a free gift, what is the cost status of the gift?",deadly,imprisoned,paid for,expensive,in prison,paid for,"If I don't pay for something I get, it's not paid by me.","Something is not deadly just because someone gave it for free.
Something is not necessarily a living being to be imprisoned.
Something is not expensive if I got it for free.
Something is not necessarily in prison if I have it with me.","If I don't pay for something I get, it's not paid by me so it is not expensive anymore for me as somebody else paid for it. It cannot be deadly just because someone paid for me. Something needs to be a living being to be kept in prison or imprisoned."
8087e5da3c92f21049509a303b5e1a81,every person,What does every person talk out of?,name,hide,mother and father,mouth,heart,mouth,"By mouth, talking is done.
Every person talk out of mouth.","Name is not a task that a person does.
Hide is not a task that a person does.
A person cant talk out of mother and father.
A person cant talk out of heart.","By mouth, talking is done. Every person talk out of mouth. Hide or name is not a task that a person does. A person cant talk out of mother and father or heart."
